conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description
http://data.europa.eu/esco/skill/072f35a1-98e7-4a6c-9a19-474ace5644da,skill/competence,sector-specific,cultivate crops for biomass,"cultivating crops for biomass
crops growing for bio-mass
grow crops for biomass
crops cultivating for biomass
crop cultivating for biomass
crops growing for biomass
crop cultivating for bio-mass
crop growing for biomass
crop growing for bio-mass
growing crops for bio-mass
cultivating crops for bio-mass
crops cultivating for bio-mass
cultivate crops for bio-mass
grow crops for bio-mass
growing crops for biomass",,released,2025-02-27T12:45:08.961Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills","Carry out the cultivation of crops for bio-mass, process of crops for bio-mass."
http://data.europa.eu/esco/skill/074dd1d8-2ae6-494b-9ca9-43772643174b,skill/competence,occupation-specific,manage technical aspects of vineyard production,"technical aspects of vineyard production process managing
managing technical aspects of vineyard production process
control technical aspects of vineyard production
technical aspects of vineyard production controlling
controlling technical aspects of vineyard production
managing technical aspects of vineyard production
controlling technical aspects of vineyard production process
control technical aspects of vineyard production process
manage technical aspects of vineyard production process
technical aspects of vineyard production managing
technical aspects of vineyard production process controlling",,released,2024-02-09T17:29:11.47Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Control the whole production process in teræs of quantity and quality. Decide about new pratices in vineyard and winery by using internal information and consultation processus.
http://data.europa.eu/esco/skill/07846f2f-e182-4f94-a7c7-9fd2865c0dde,skill/competence,occupation-specific,insert semen,"artificially inseminate animals
inserting animal semen
inseminate animals
animal semen inserting
animal inseminating
insert animal semen
semen inserting
inseminating animals
animal inseminating artificially
artificially inseminating animals",,released,2024-02-09T17:29:12.952Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Confirm observation of animals in heat to detect the approach of oestrus or comply with the synchronisation protocol. Insert the semen into the genital tract of the female animal using appropriate equipment and technique for species.
http://data.europa.eu/esco/skill/07862bb1-835a-4f14-9245-17717dc550a8,knowledge,sector-specific,technical equipment for crop production,"maintenance regime for technical equipment for crop production
methods of adjusting technical installations for crop production
servicing requirements for technical equipment for crop production
servicing requirements for technical installations crop production equipment
methods of adjusting technical equipment for crop production",,released,2024-02-09T17:29:15.235Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Methods for service, maintaining and adjusting of technical equipment, machines and instatallations used for crop production."
http://data.europa.eu/esco/skill/078e6210-224d-4331-9c8e-f881259b6bb0,knowledge,sector-specific,safe use of pesticides,"safe application of pesticides
safe use of pesticide
insure pesticides are used safely
safe pesticides use",,released,2025-07-25T11:15:00.857Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Precautions and regulations concerning the transport, storage and handling of chemical substances that exterminate pests."
http://data.europa.eu/esco/skill/081d7679-5070-4777-bece-a28c49f15636,knowledge,cross-sector,environmental policy,"national environmental protection policy
international environmental protection policy
national environmental policy
local environmental policy
international environmental policy
local environmental protection policy
environmental sustainability policy",,released,2025-02-27T12:45:08.961Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills","Local, national and international policies dealing with the promotion of environmental sustainability and the development of projects which reduce negative environmental impact and improve the state of the environment."
http://data.europa.eu/esco/skill/08881cb7-5331-4b11-9442-4d7c9fce749e,skill/competence,sector-specific,perform pest control,"performing pest control spraying
undertaking pest control spraying
undertaking pest control
performing pest control
pest control spraying performing
undertake pest control spraying
pest control spraying undertaking
pest control undertaking
perform pest control spraying
undertake pest control
pest control performing",,released,2024-02-09T17:29:16.725Z,Working with pesticides may require a special certificate in some countries and reording the data about the usage of pesticdes.,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Carry out crop spraying pest and disease operations in line with National industry and customer requirements. Carry out slurry and fertiliser spreading in accordance with local environmental regulations.
http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d,skill/competence,cross-sector,ensure compliance with environmental legislation,"ensure compliance with environmental regulations
ensuring environmental legislation compliance
ensure environmental legislation compliance
ensuring compliance with environmental legislation
check compliance with environmental laws
ensuring of compliance with environmental legislation
lead implementation of environmental legislation
lead implementation of environmental policies and legislation
checking compliance with environmental laws",,released,2024-02-09T17:29:16.725Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills","Monitor activities and perform tasks ensuring compliance with standards involving environmental protection and sustainability, and amend activities in the case of changes in environmental legislation. Ensure that the processes are compliant with environment regulations and best practices."
http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,skill/competence,cross-sector,manage research data,"oversee scientific data
handle research data
administer research data",,released,2024-03-01T11:59:56.801Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/research,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Produce and analyse scientific data originating from qualitative and quantitative research methods. Store and maintain the data in research databases. Support the re-use of scientific data and be familiar with open data management principles.
http://data.europa.eu/esco/skill/08dede9c-570a-462a-931a-481aef87fd6d,knowledge,sector-specific,livestock reproduction,"methods in livestock breeding
techniques in livestock reproduction
techniques in livestock breeding
procedures in livestock reproduction
legislation in livestock breeding
procedures in livestock breeding
legislation in livestock reproduction
methods in livestock reproduction",,released,2025-02-27T12:45:08.961Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","The natural and artificial reproduction techniques, gestation periods and birthing for livestock."
http://data.europa.eu/esco/skill/0990d0a7-63f7-4550-bd8e-8c20c17353f2,skill/competence,sector-specific,tend wine manufacturing machines,"take care of wine manufacturing machines
mind wine manufacturing machines
look after wine manufacturing machines
watch wine manufacturing machines
tend a wine manufacturing machine
tend wine manufacturing machinery",,released,2025-02-27T12:45:08.961Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Tend machinery, appliances, and special equipment designed for the production and the manufacturing of wine. Make maintenance and implement preventive actions to the machinery in order to ensure operability."
http://data.europa.eu/esco/skill/0ae3af47-dc33-4cb0-a2a3-01c6a5bcd968,skill/competence,sector-specific,maintain plants' growth,"plants nurturing
nurturing plant
nurture plant
maintaining growth of plant
maintain growth of plant
plant nurturing
maintaining plants' growth
nurture plants
nurturing plants
plants' growth maintaining",,released,2024-02-09T17:29:15.235Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Support growth, appearance and intended purpose of the plants."
http://data.europa.eu/esco/skill/0b2701ed-e85a-4d02-a68b-ef5c695f785a,skill/competence,sector-specific,use firearms,"work with firearms
utilize firearms
using firearms
use firearm",,released,2024-02-09T17:29:09.009Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Shoot one or several types of firearm being aware of safe handling techniques, aim of the firearm and the fire."
http://data.europa.eu/esco/skill/0b34dd9f-bcb2-4bd0-9aaa-e88421cdf288,skill/competence,occupation-specific,apply health and safety when picking,"apply health and safety precautions when picking
implement health and safety precautions when picking
health and safety applying when picking
implementing health and safety when picking
health and safety implementing when picking
implementing health and safety precautions when picking
applying health and safety when picking
applying health and safety precautions when picking
implement health and safety when picking",,released,2024-02-09T17:29:10.678Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Take the necessary health and safety precautions when picking: posture your body well, safely operate tools and machinery, and wear the right clothes and protection for the climate."
http://data.europa.eu/esco/skill/0b917c3e-e49f-40d9-8f95-3bc8e9c06fd2,skill/competence,cross-sector,perform laboratory tests,"laboratory testing
engage in laboratory tests
performing laboratory tests
carry out laboratory tests
conduct laboratory tests",,released,2024-02-09T17:29:14.494Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Carry out tests in a laboratory to produce reliable and precise data to support scientific research and product testing.
http://data.europa.eu/esco/skill/0cfc7eb9-2891-4153-b335-6331f381ff05,skill/competence,sector-specific,communicate health and safety measures,"communicate measures on health and safety
communicate about health and safety measures
inform about health and safety standards
provide information on health and safety",,released,2024-02-09T17:29:14.494Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Inform about applicable rules, guidelines and measures to avoid accidents and hazards in the workplace."
http://data.europa.eu/esco/skill/0d69dcea-0d40-4e66-988d-b8e64d81ec76,skill/competence,sector-specific,train horses,"training equines
horse training
training horses
harness and train horses
dress and train equines
equine training",,released,2024-02-09T17:29:12.952Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Harness, dress and train horses as per the instructions provided. Take into account the age and breed of the horse and the preparation purposes."
http://data.europa.eu/esco/skill/0e355580-bd4a-465a-8058-92984623070e,skill/competence,cross-sector,work in outdoor conditions,"work in bad weather
working in bad weather
coping with work in bad weather
working outdoors
working outdoors in adverse weather conditions
cope with work in bad weather
work outdoors in adverse weather conditions
working in outdoor conditions",,released,2024-02-09T17:29:16.725Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Can cope with the different climate conditions such as heat, rain, cold or in strong wind."
http://data.europa.eu/esco/skill/0e531bd6-7997-43c0-b042-7cec951e6ada,skill/competence,sector-specific,develop agricultural production plans,"developing agricultural production plans
develop crop production plans
crop production plan developing
agricultural production plan developing
developing crop production plans",,released,2024-02-09T17:29:11.47Z,"It may include planning of sow and breed plants, weed, pest and disease control, pruning and crop thinning.",,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Develop plans for planting, calculate crop input requirements for all stages of the growth."
http://data.europa.eu/esco/skill/0e9fbf47-0cec-4d82-97f9-12a3334819fe,skill/competence,sector-specific,control animal movement,"manipulate animal movement
handle movement of animals
perform animal handling
manipulate movement of animals
handle animals
conduct animal handling
control movement of animals
direct movement of animals
carry out animal handling activities
direct animal movement",,released,2024-02-09T17:29:15.235Z,"""Restrain"" includes physical and mechanical means, and/or the use of chemical means under veterinary direction.",,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Direct, control or restrain some or part of an animal's, or a group of animals', movement."
http://data.europa.eu/esco/skill/0fb63e16-f674-4b96-9954-b9d63b666650,knowledge,sector-specific,variety of botanicals,"variety of botanical
formats of botanicals
categories of botanicals
variety of a botanical
botanical varieties
types of botanicals",,released,2024-02-09T17:29:15.235Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Principles of botanicals with a primary focus in herbaceous and annual plants in raw form.
http://data.europa.eu/esco/skill/1075bb7c-2caf-49e0-92cf-5cb4a2b1c9eb,skill/competence,sector-specific,evaluate vineyard quality,"assess quality of vineyard
vineyard quality evaluating
assessing quality of vineyard
evaluating quality of vineyard
assessing vineyard quality
evaluating vineyard quality
vineyard quality assessing
evaluate quality of vineyard
assess vineyard quality",,released,2024-02-09T17:29:16.725Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Help in assessing the vineyard and varietal fruit. Supervise receipt and evaluation of fruit according to quality parameters and specifications.
http://data.europa.eu/esco/skill/10d57d01-c5cc-4e50-967e-4ccaada0787d,skill/competence,sector-specific,estimate costs in farm,"calculating costs in farm
farm costs calculating
farm cost calculating
calculating costs in farming
farm costs estimating
calculate costs on farm
farm cost estimating
estimating costs in farming
estimate costs in farming
calculate costs in farming
estimating costs on farm",,released,2024-02-09T17:29:09.009Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Provide cost analysis for relevant solutions and proposed actions taking into account the farm type and long term planning principles.
http://data.europa.eu/esco/skill/10f04ffe-7435-44d4-9f6f-6bf6e87b9a0e,skill/competence,sector-specific,advise on acquisitions,"advising on acquisitions
give recommendations on acquisitions
advise on acquisition
counsel on acquisitions
offer suggestions on acquisitions",,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Provide advice based on existing and planned acquisitions and investigate acquisition options.
http://data.europa.eu/esco/skill/118796d8-28a3-4865-bcd0-d037f4abcc0f,skill/competence,sector-specific,coordinate greenhouse environment,"taking care of greenhouse environment
ensuring correct greenhouse environment
ensure correct greenhouse environment
greenhouse environment coordinating
take care of greenhouse environment
coordinating greenhouse environment",,released,2025-06-20T08:32:59.175Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Take care of the heating and cooling of greenhouses. Work together with the Grounds and Buildings Manager in keeping the irrigation systems and the horticultural equipment in good condition.
http://data.europa.eu/esco/skill/12c7b323-d870-4f5b-9d7d-d9f525206d77,knowledge,cross-sector,production processes,"production process
production measures
a production process
production handling
production analysis",,released,2024-02-09T17:29:10.678Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Materials and techniques required in the production and distribution processes.
http://data.europa.eu/esco/skill/131df737-705c-4114-b556-27cc741ce020,skill/competence,occupation-specific,trap animals,"using animal traps
animal traps using
animals trapping
trapping animals
use animal traps
animal trap using
animal trapping",,released,2024-02-09T17:29:15.968Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Use devices such as animal traps to catch or kill wildlife. Trap the animals for the purpose of gaining food or animal products, pest control or wildlife management."
http://data.europa.eu/esco/skill/132df8d4-7aac-47cb-951b-a6f4f6fa5a08,skill/competence,sector-specific,breed rabbits,"supervise rabbit breeding
supervising rabbit breeding
supervise breeding rabbits
managing rabbit breeding
rabbit breeding managing
rabbit breeding supervising
supervising breeding rabbits
managing breeding rabbits
manage rabbit breeding
manage breeding rabbits",,released,2023-11-03T12:40:06.26Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Prepare a suitable environment for rabbit breeding. Select and prepare the appropriate habitats for specific kinds of rabbits. Monitor the rabbit's growth and health and ensure correct feeding. Identify when the rabbits are ready for consumption, scientific or other purposes."
http://data.europa.eu/esco/skill/13bf8e76-044a-43c3-9924-ee6d99b50a9f,knowledge,sector-specific,wine characteristics,"wine aromas
characteristics of wines
wine character
wine details",,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",The origins and characteristics of international wines.
http://data.europa.eu/esco/skill/14026826-61f5-4476-a217-4e4d62e86b4f,knowledge,sector-specific,quality criteria for storage facilities,"principles of quality criteria for storage facilities
contents of quality standards for storage facilities
principles of quality standards for storage facilities
range of quality standards for storage facilities
contents of quality criteria for storage facilities
scope of quality standards for storage facilities
scope of quality criteria for storage facilities",,released,2024-02-09T17:29:15.235Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Quality criteria for storage facilities such as safe locking systems, ventilation, regularly inspected fireproofing systems, etc."
http://data.europa.eu/esco/skill/14089215-7328-4aef-ada8-3eebd804df98,skill/competence,sector-specific,monitor the process of wine production,"watch the process of wine production
supervise the process of wine production
monitor the process of producing wine
oversee the process of wine production
view the process of wine production
monitor the winr process wine production
monitor wine production processes",,released,2024-02-09T17:29:10.678Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Oversee wine production to take decisions, in order to achieve the desired output."
http://data.europa.eu/esco/skill/14dcd9eb-52e4-4353-ad4e-b2833e55ebe5,skill/competence,sector-specific,supervise pest and disease control,"supervising pest control
overseeing pest control
supervising pest and disease control
pest and disease control overseeing
supervising disease control
oversee disease control
pest and disease control supervising
oversee pest control
supervise disease control
overseeing disease control
oversee pest and disease control
supervise pest control
overseeing pest and disease control",,released,2024-02-09T17:29:15.235Z,Store and apply chemicals in accordance with manufacturers' directions. Ensure all appropriate personal protective equipment is used when applying chemicals. Maintain chemical log in accordance with legislative requirements.,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Scout for pest damage, order pesticides as needed and within given budget, supervise mixing and application of pesticides, maintain records of pesticide application."
http://data.europa.eu/esco/skill/16234c53-0b20-4594-a5f5-c31a2ad98c8c,skill/competence,sector-specific,control livestock disease,"livestock disease preventing
controlling disease in livestock
livestock disease controlling
preventing disease in livestock
controlling livestock disease
prevent disease in livestock
prevent livestock disease
disease controlling in livestock
disease preventing in livestock
preventing livestock disease
control disease in livestock",,released,2024-02-09T17:29:10.678Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Control the spread of disease and parasites in herds, by using vaccination and medication, and by separating sick animals."
http://data.europa.eu/esco/skill/17a0c89d-1c78-4543-a637-ce2a03dbea18,skill/competence,occupation-specific,breed insects,"breed insect managing
undertake breeding of insects
undertaking breeding of insects
undertaking insect breeding
manage breeding insects
insect breeding undertaking
insect breeding managing
manage insect breeding
managing insect breeding
managing breeding insects
undertake insect breeding",,released,2020-06-19T13:38:24.698Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Prepare a suitable environment for insect breeding. Select and prepare the appropriate terrariums for specific kinds of insects. Monitor the insect's growth and health and ensure correct feeding. Identify when the insects are ready for consumption, scientific or other purposes."
http://data.europa.eu/esco/skill/17fa5b53-fd59-49eb-8763-29255a185d26,skill/competence,sector-specific,prepare the ground,"clear land for turf laying
land clearing for turf laying
land preparing for turf laying
prepare land for turf laying
clear site for turf laying
ground preparing
preparing the ground for turf
ground preparing for turf
ground clearing for turfing
prepare the ground for turf
preparing the ground
clear ground for turfing
clearing ground for turfing",,released,2025-02-27T12:45:08.961Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Prepare the ground for laying turf or seeding by clearing the area, choosing the optimal soil, choosing the ground deepness and the appropriate fertilisers."
http://data.europa.eu/esco/skill/18532b8f-360c-4e69-94f8-50795b07277a,knowledge,sector-specific,wine blending,"the blending of wines
wine mixtures
the blending of wine
wine mixing",,released,2023-02-17T09:49:09.711Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Blending processes of wines considering factors that affect how wine is perceived by the taster and eliminate anything that may hinder objective testing.
http://data.europa.eu/esco/skill/186ba200-6c13-4ffd-947d-dbfe75a2b985,knowledge,sector-specific,quality criteria for livestock feed production,"range of quality standards for livestock feed production
scope of quality standards for livestock feed production
scope of quality criteria for livestock feed production
range of quality criteria for livestock feed production
types of quality criteria for livestock feed production
typology of quality criteria for livestock feed production
types of quality standards for livestock feed production
livestock feed production quality criteria
livestock feed production quality standards
typology of quality standards for livestock feed production",,released,2024-02-09T17:29:15.968Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Quality assurance approaches, procedures and systems to allow for analysis of feeds and feed ingredients and determine their nutritional value. Evaluation of the functioning of a feed analysis laboratory and of its compliance to international standards."
http://data.europa.eu/esco/skill/188ad0ce-1703-4d41-801b-201d739aeede,skill/competence,cross-sector,maintain storage facilities,"maintaining storage facilities
manage storage facilities
storage facilities maintaining
managing storage facilities
storage facility managing
storage facilities managing
storage facility maintaining",,released,2024-02-09T17:29:14.494Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Maintain or ensure the maintenance of cleaning equipment, heating or air conditioning of storage facilities and the temperature of premises."
http://data.europa.eu/esco/skill/18a5e674-550e-4fdf-98e9-df4584e2869c,skill/competence,sector-specific,assign duties to agriculture workers,"duty assigning to agriculture workers
duties assigning to agriculture workers
assigning tasks to agriculture workers
assign tasks to agriculture workers
task assigning to agriculture workers
assigning duties to agriculture workers
tasks assigning to agriculture workers",,released,2025-02-27T12:45:08.961Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Assign duties, such as the cultivation, irrigation, or harvesting of crops or plants. Supervise product packaging or grading and equipment maintenance."
http://data.europa.eu/esco/skill/19e63192-afc2-4c65-8673-f927ddb6719f,knowledge,occupation-specific,hop cultivation,"typology of hop cultivation
growing of hops
methods of hop growing
techniques of hop growing
typology of hop growing
techniques of hop cultivation
cultivation of hops
methods of hop cultivation
types of hop cultivation
types of hop growing",,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",The cultivation of hop plants. The diverse types of hops and the means to cultivate and harvest hop crops for beer brewing and other purposes.
http://data.europa.eu/esco/skill/1c9853ad-fad2-4d50-9fe3-6580d9e4d51e,skill/competence,occupation-specific,supervise fruit production teams,"overseeing fruit production teams
supervising fruit production teams
oversee fruit production teams
fruit production teams supervising
fruit production team supervising
fruit production teams overseeing
fruit production team overseeing",,released,2024-02-09T17:29:11.47Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Supervise the fruit production crews by planning, assigning and evaluating their daily activities."
http://data.europa.eu/esco/skill/1d6640ab-97b2-4c89-974b-9363252c1b0a,skill/competence,cross-sector,assist bottling,"assist wine corking
assisting wine bottling
assisting corking
assisting in wine corking
corking assisting
assisting in wine bottling
assisting wine corking
assist wine bottling
wine bottling assisting
assisting bottling
bottling assisting
assisting in corking
wine corking assisting
assisting in bottling
assist corking",,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Prepare wine for bottling. Assist with bottling and corking.
http://data.europa.eu/esco/skill/1dae8445-12e5-423a-bb26-824010e299b9,skill/competence,cross-sector,ensure compliance with legal requirements,ensure compliance with legislative regulations,,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Guarantee compliance with established and applicable standards and legal requirements such as specifications, policies, standards or law for the goal that organisations aspire to achieve in their efforts."
